,Date,Target_FR12Mts,Class,XLF,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,0,,,,,,,,
1,1/1/1999,0.09,0,,,,,,,,
2,2/1/1999,0.11,0,19.674046,6.46,27.296875,28.671875,26.515625,123.5625,10.07,0.36386688016832525
3,3/1/1999,0.17,0,20.257921,6.57,28.59375,26.6875,26.4375,128.375,10.06,0.4716152463041934
4,4/1/1999,0.09,0,,,,,,,,
5,5/1/1999,0.1,0,20.372156,6.57,28.015625,29.609375,25.25,130.203125,9.91,0.39619502540345436
6,6/1/1999,0.06,0,21.197197,6.56,29.78125,30.640625,25.59375,137.0,9.81,0.5347726645063654
7,7/1/1999,0.08,0,,,,,,,,
8,8/1/1999,0.15,0,,,,,,,,
9,9/1/1999,0.12,0,,,,,,,,
10,10/1/1999,0.04,0,20.765638,6.24,28.390625,29.9375,24.828125,137.0,9.71,0.7786196705381433
11,11/1/1999,-0.05,1,,,,,,,,
12,12/1/1999,-0.11,1,19.30595,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.5501203662580356
13,1/1/2000,-0.02,1,18.734768,6.27,27.203125,27.640625,23.234375,139.5625,9.49,0.8049345583172222
14,2/1/2000,-0.1,1,16.729284,6.21,25.6875,24.28125,20.515625,137.4375,9.55,0.6051990256477241
15,3/1/2000,-0.22,1,,,,,,,,
16,4/1/2000,-0.13,1,,,,,,,,
17,5/1/2000,-0.12,1,,,,,,,,
18,6/1/2000,-0.16,1,19.293257,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.9957067307109021
19,7/1/2000,-0.15,1,,,,,,,,
20,8/1/2000,-0.25,1,23.126524,5.87,24.921875,28.75,24.015625,152.34375,9.72,0.9995157334925547
21,9/1/2000,-0.27,1,,,,,,,,
22,10/1/2000,-0.26,1,,,,,,,,
23,11/1/2000,-0.14,1,22.16186,5.13,23.96875,34.140625,27.640625,132.28125,9.84,0.9982256468796523
24,12/1/2000,-0.13,1,23.964256,5.18,25.59375,33.1875,28.5625,131.1875,9.96,0.9981674074503516
25,1/1/2001,-0.17,1,23.907393,5.34,28.57,31.32,26.48,137.020004,10.08,0.9866281140858437
26,2/1/2001,-0.1,1,,,,,,,,
27,3/1/2001,-0.02,1,,,,,,,,
28,4/1/2001,-0.15,1,22.339561,5.05,27.299999,32.799999,25.200001,126.660004,10.02,0.901460073890787
29,5/1/2001,-0.15,1,23.322502,5.11,27.950001,33.029999,25.57,125.949997,10.04,0.8902510886678234
30,6/1/2001,-0.19,1,23.070675,4.95,27.67,31.15,24.309998999999998,122.599998,10.04,0.824421879140766
31,7/1/2001,-0.25,1,,,,,,,,
32,8/1/2001,-0.2,1,,,,,,,,
33,9/1/2001,-0.22,1,,,,,,,,
34,10/1/2001,-0.16,1,,,,,,,,
35,11/1/2001,-0.18,1,21.047928,4.61,27.4,27.370001000000002,26.0,114.050003,10.26,0.8006514762087105
36,12/1/2001,-0.23,1,,,,,,,,
37,1/1/2002,-0.24,1,,,,,,,,
38,2/1/2002,-0.24,1,,,,,,,,
39,3/1/2002,-0.26,1,,,,,,,,
40,4/1/2002,-0.15,1,,,,,,,,
41,5/1/2002,-0.1,1,21.429731,4.72,29.049999,26.25,24.85,107.220001,10.15,0.22835321974012898
42,6/1/2002,-0.01,1,,,,,,,,
43,7/1/2002,0.09,0,,,,,,,,
44,8/1/2002,0.11,0,19.073923,4.14,24.92,21.5,21.469998999999998,91.779999,10.25,0.09187256310791378
45,9/1/2002,0.22,0,,,,,,,,
46,10/1/2002,0.19,0,,,,,,,,
47,11/1/2002,0.13,0,,,,,,,,
48,12/1/2002,0.26,0,,,,,,,,
49,1/1/2003,0.32,0,,,,,,,,
50,2/1/2003,0.35,0,,,,,,,,
51,3/1/2003,0.33,0,,,,,,,,
52,4/1/2003,0.21,0,,,,,,,,
53,5/1/2003,0.16,0,19.95126,4.68,26.74,22.01,20.059998999999998,96.949997,10.58,0.013037018012205694
54,6/1/2003,0.17,0,19.943136,4.84,27.09,22.120001000000002,20.16,97.629997,10.52,0.009685693523321257
55,7/1/2003,0.12,0,,,,,,,,
56,8/1/2003,0.1,0,,,,,,,,
57,9/1/2003,0.12,0,,,,,,,,
58,10/1/2003,0.08,0,,,,,,,,
59,11/1/2003,0.11,0,,,,,,,,
60,12/1/2003,0.09,0,,,,,,,,
