,Date,Target_FR12Mts,Class,XLF,HY,XLY,XLU,XLP,SPY,VBMFX,Prob
0,12/1/1998,0.19,0,,,,,,,,
1,1/1/1999,0.09,0,,,,,,,,
2,2/1/1999,0.11,0,,,,,,,,
3,3/1/1999,0.17,0,,,,,,,,
4,4/1/1999,0.09,0,,,,,,,,
5,5/1/1999,0.1,0,,,,,,,,
6,6/1/1999,0.06,0,21.197197,6.56,29.78125,30.640625,25.59375,137.0,9.81,0.5429943542462804
7,7/1/1999,0.08,0,,,,,,,,
8,8/1/1999,0.15,0,,,,,,,,
9,9/1/1999,0.12,0,17.973192,6.33,26.078125,29.78125,22.75,128.75,9.73,0.36013627880808574
10,10/1/1999,0.04,0,20.765638,6.24,28.390625,29.9375,24.828125,137.0,9.71,0.7569739971216827
11,11/1/1999,-0.05,1,,,,,,,,
12,12/1/1999,-0.11,1,,,,,,,,
13,1/1/2000,-0.02,1,,,,,,,,
14,2/1/2000,-0.1,1,,,,,,,,
15,3/1/2000,-0.22,1,19.712124,6.16,29.265625,26.734375,21.21875,150.375,9.63,0.8774782647219073
16,4/1/2000,-0.13,1,19.902519,6.04,28.65625,28.484375,22.34375,145.09375,9.53,0.8691384763740433
17,5/1/2000,-0.12,1,,,,,,,,
18,6/1/2000,-0.16,1,19.293257,5.87,25.59375,27.25,25.234375,145.28125,9.61,0.9884061161268065
19,7/1/2000,-0.15,1,20.99411,5.83,26.0,27.671875,24.3125,143.0,9.64,0.9834468839479151
20,8/1/2000,-0.25,1,,,,,,,,
21,9/1/2000,-0.27,1,,,,,,,,
22,10/1/2000,-0.26,1,,,,,,,,
23,11/1/2000,-0.14,1,,,,,,,,
24,12/1/2000,-0.13,1,23.964256,5.18,25.59375,33.1875,28.5625,131.1875,9.96,0.9907289635180095
25,1/1/2001,-0.17,1,23.907393,5.34,28.57,31.32,26.48,137.020004,10.08,0.9661622176354475
26,2/1/2001,-0.1,1,,,,,,,,
27,3/1/2001,-0.02,1,,,,,,,,
28,4/1/2001,-0.15,1,,,,,,,,
29,5/1/2001,-0.15,1,,,,,,,,
30,6/1/2001,-0.19,1,23.070675,4.95,27.67,31.15,24.309998999999998,122.599998,10.04,0.7768631197083907
31,7/1/2001,-0.25,1,,,,,,,,
32,8/1/2001,-0.2,1,,,,,,,,
33,9/1/2001,-0.22,1,20.04874,4.44,22.969998999999998,29.26,25.059998999999998,104.440002,10.31,0.6893771736250539
34,10/1/2001,-0.16,1,,,,,,,,
35,11/1/2001,-0.18,1,,,,,,,,
36,12/1/2001,-0.23,1,,,,,,,,
37,1/1/2002,-0.24,1,,,,,,,,
38,2/1/2002,-0.24,1,20.755484,4.65,29.700001,26.969998999999998,25.76,111.150002,10.21,0.25607971362310106
39,3/1/2002,-0.26,1,,,,,,,,
40,4/1/2002,-0.15,1,,,,,,,,
41,5/1/2002,-0.1,1,,,,,,,,
42,6/1/2002,-0.01,1,,,,,,,,
43,7/1/2002,0.09,0,,,,,,,,
44,8/1/2002,0.11,0,,,,,,,,
45,9/1/2002,0.22,0,16.791227,4.04,22.67,18.67,19.790001,81.790001,10.36,0.02896540692649858
46,10/1/2002,0.19,0,,,,,,,,
47,11/1/2002,0.13,0,,,,,,,,
48,12/1/2002,0.26,0,,,,,,,,
49,1/1/2003,0.32,0,,,,,,,,
50,2/1/2003,0.35,0,,,,,,,,
51,3/1/2003,0.33,0,,,,,,,,
52,4/1/2003,0.21,0,,,,,,,,
53,5/1/2003,0.16,0,,,,,,,,
54,6/1/2003,0.17,0,,,,,,,,
55,7/1/2003,0.12,0,20.812347,4.87,27.59,20.639999,20.129998999999998,99.389999,10.13,0.04041185334347817
56,8/1/2003,0.1,0,,,,,,,,
57,9/1/2003,0.12,0,,,,,,,,
58,10/1/2003,0.08,0,,,,,,,,
59,11/1/2003,0.11,0,,,,,,,,
60,12/1/2003,0.09,0,22.851341,5.3,31.49,23.33,21.780001000000002,111.279999,10.31,0.039546843074918576
61,1/1/2004,0.04,0,,,,,,,,
62,2/1/2004,0.05,0,,,,,,,,
63,3/1/2004,0.04,0,,,,,,,,
64,4/1/2004,0.04,0,,,,,,,,
65,5/1/2004,0.06,0,,,,,,,,
66,6/1/2004,0.04,0,23.216896,5.08,31.629998999999998,23.76,23.09,114.529999,10.09,0.1419988795813235
