,Date,Target_FR12Mts,Class,XLK,HY,XLY,XLU,XLP,SPY,Prob
0,12/1/1998,0.19,1,,,,,,,
1,1/1/1999,0.09,1,,,,,,,
2,2/1/1999,0.11,1,,,,,,,
3,3/1/1999,0.17,1,,,,,,,
4,4/1/1999,0.09,1,,,,,,,
5,5/1/1999,0.1,1,,,,,,,
6,6/1/1999,0.06,0,40.484375,6.56,29.78125,30.640625,25.59375,137.0,0.3605565599128058
7,7/1/1999,0.08,0,,,,,,,
8,8/1/1999,0.15,1,,,,,,,
9,9/1/1999,0.12,1,41.25,6.33,26.078125,29.78125,22.75,128.75,0.359698181938733
10,10/1/1999,0.04,0,42.5,6.24,28.390625,29.9375,24.828125,137.0,0.21911243969846078
11,11/1/1999,-0.05,0,,,,,,,
12,12/1/1999,-0.11,0,,,,,,,
13,1/1/2000,-0.02,0,,,,,,,
14,2/1/2000,-0.1,0,,,,,,,
15,3/1/2000,-0.22,0,60.5625,6.16,29.265625,26.734375,21.21875,150.375,0.03477407135672771
16,4/1/2000,-0.13,0,55.0,6.04,28.65625,28.484375,22.34375,145.09375,0.07467576827950938
17,5/1/2000,-0.12,0,,,,,,,
18,6/1/2000,-0.16,0,54.1875,5.87,25.59375,27.25,25.234375,145.28125,0.03912845726016719
19,7/1/2000,-0.15,0,51.3125,5.83,26.0,27.671875,24.3125,143.0,0.0441698871352933
20,8/1/2000,-0.25,0,,,,,,,
21,9/1/2000,-0.27,0,,,,,,,
22,10/1/2000,-0.26,0,,,,,,,
23,11/1/2000,-0.14,0,,,,,,,
24,12/1/2000,-0.13,0,31.3125,5.18,25.59375,33.1875,28.5625,131.1875,0.17130220748879804
25,1/1/2001,-0.17,0,37.299999,5.34,28.57,31.32,26.48,137.020004,0.11546516386587556
26,2/1/2001,-0.1,0,,,,,,,
27,3/1/2001,-0.02,0,,,,,,,
28,4/1/2001,-0.15,0,,,,,,,
29,5/1/2001,-0.15,0,,,,,,,
30,6/1/2001,-0.19,0,28.17,4.95,27.67,31.15,24.309998999999998,122.599998,0.2742206146303506
31,7/1/2001,-0.25,0,,,,,,,
32,8/1/2001,-0.2,0,,,,,,,
33,9/1/2001,-0.22,0,19.25,4.44,22.969998999999998,29.26,25.059998999999998,104.440002,0.5384484894388396
34,10/1/2001,-0.16,0,,,,,,,
35,11/1/2001,-0.18,0,,,,,,,
36,12/1/2001,-0.23,0,,,,,,,
37,1/1/2002,-0.24,0,,,,,,,
38,2/1/2002,-0.24,0,20.65,4.65,29.700001,26.969998999999998,25.76,111.150002,0.6200114162521689
39,3/1/2002,-0.26,0,,,,,,,
40,4/1/2002,-0.15,0,,,,,,,
41,5/1/2002,-0.1,0,,,,,,,
42,6/1/2002,-0.01,0,,,,,,,
43,7/1/2002,0.09,1,,,,,,,
44,8/1/2002,0.11,1,,,,,,,
45,9/1/2002,0.22,1,11.83,4.04,22.67,18.67,19.790001,81.790001,0.7042709093566127
46,10/1/2002,0.19,1,,,,,,,
47,11/1/2002,0.13,1,,,,,,,
48,12/1/2002,0.26,1,,,,,,,
49,1/1/2003,0.32,1,,,,,,,
50,2/1/2003,0.35,1,,,,,,,
51,3/1/2003,0.33,1,,,,,,,
52,4/1/2003,0.21,1,,,,,,,
53,5/1/2003,0.16,1,,,,,,,
54,6/1/2003,0.17,1,,,,,,,
55,7/1/2003,0.12,1,17.6,4.87,27.59,20.639999,20.129998999999998,99.389999,0.5231198368530178
56,8/1/2003,0.1,1,,,,,,,
57,9/1/2003,0.12,1,,,,,,,
58,10/1/2003,0.08,0,,,,,,,
59,11/1/2003,0.11,1,,,,,,,
60,12/1/2003,0.09,1,20.379998999999998,5.3,31.49,23.33,21.780001000000002,111.279999,0.5014922993237506
61,1/1/2004,0.04,0,,,,,,,
62,2/1/2004,0.05,0,,,,,,,
63,3/1/2004,0.04,0,,,,,,,
64,4/1/2004,0.04,0,,,,,,,
65,5/1/2004,0.06,0,,,,,,,
66,6/1/2004,0.04,0,20.700001,5.08,31.629998999999998,23.76,23.09,114.529999,0.38170855162178907
67,7/1/2004,0.12,1,19.440001000000002,4.99,30.43,24.120001000000002,21.950001,110.839996,0.40677785629788543
68,8/1/2004,0.1,1,18.58,5.02,30.370001000000002,25.1,22.34,111.110001,0.4335586765763747
69,9/1/2004,0.1,1,19.120001000000002,5.06,31.200001,25.049999,21.66,111.760002,0.437616301528296
70,10/1/2004,0.06,0,,,,,,,
71,11/1/2004,0.06,0,,,,,,,
72,12/1/2004,0.03,0,,,,,,,
73,1/1/2005,0.08,0,19.92,5.24,33.779999,28.440001000000002,23.35,118.160004,0.5520289442166079
74,2/1/2005,0.06,0,,,,,,,
