,Date,Target_FR12Mts,Class,XLK,HY,XLY,XLU,XLP,SPY,Prob
0,12/1/1998,0.19,1,,,,,,,
1,1/1/1999,0.09,1,,,,,,,
2,2/1/1999,0.11,1,34.0625,6.46,27.296875,28.671875,26.515625,123.5625,0.7186076831478441
3,3/1/1999,0.17,1,36.59375,6.57,28.59375,26.6875,26.4375,128.375,0.49932754479543096
4,4/1/1999,0.09,1,,,,,,,
5,5/1/1999,0.1,1,,,,,,,
6,6/1/1999,0.06,0,,,,,,,
7,7/1/1999,0.08,0,,,,,,,
8,8/1/1999,0.15,1,,,,,,,
9,9/1/1999,0.12,1,,,,,,,
10,10/1/1999,0.04,0,,,,,,,
11,11/1/1999,-0.05,0,,,,,,,
12,12/1/1999,-0.11,0,53.875,6.31,31.0625,28.140625,23.03125,146.875,0.08874927588595576
13,1/1/2000,-0.02,0,,,,,,,
14,2/1/2000,-0.1,0,,,,,,,
15,3/1/2000,-0.22,0,60.5625,6.16,29.265625,26.734375,21.21875,150.375,0.02143333115720804
16,4/1/2000,-0.13,0,,,,,,,
17,5/1/2000,-0.12,0,,,,,,,
18,6/1/2000,-0.16,0,54.1875,5.87,25.59375,27.25,25.234375,145.28125,0.017532894458483543
19,7/1/2000,-0.15,0,,,,,,,
20,8/1/2000,-0.25,0,56.53125,5.87,24.921875,28.75,24.015625,152.34375,0.0033420063423873405
21,9/1/2000,-0.27,0,,,,,,,
22,10/1/2000,-0.26,0,,,,,,,
23,11/1/2000,-0.14,0,,,,,,,
24,12/1/2000,-0.13,0,,,,,,,
25,1/1/2001,-0.17,0,,,,,,,
26,2/1/2001,-0.1,0,28.01,5.23,26.530001000000002,31.969998999999998,26.639999,123.949997,0.2928048996363087
27,3/1/2001,-0.02,0,,,,,,,
28,4/1/2001,-0.15,0,28.809998999999998,5.05,27.299999,32.799999,25.200001,126.660004,0.1788758411760364
29,5/1/2001,-0.15,0,,,,,,,
30,6/1/2001,-0.19,0,28.17,4.95,27.67,31.15,24.309998999999998,122.599998,0.2501509544031645
31,7/1/2001,-0.25,0,,,,,,,
32,8/1/2001,-0.2,0,23.02,4.83,26.370001000000002,29.77,25.17,114.150002,0.4259527098341827
33,9/1/2001,-0.22,0,,,,,,,
34,10/1/2001,-0.16,0,,,,,,,
35,11/1/2001,-0.18,0,,,,,,,
36,12/1/2001,-0.23,0,24.0,4.64,28.6,28.030001000000002,25.4,114.300003,0.4767953052917887
37,1/1/2002,-0.24,0,,,,,,,
38,2/1/2002,-0.24,0,,,,,,,
39,3/1/2002,-0.26,0,,,,,,,
40,4/1/2002,-0.15,0,19.049999,4.78,29.200001,26.469998999999998,25.129998999999998,107.860001,0.7036537338403207
41,5/1/2002,-0.1,0,18.26,4.72,29.049999,26.25,24.85,107.220001,0.6662929358846499
42,6/1/2002,-0.01,0,,,,,,,
43,7/1/2002,0.09,1,,,,,,,
44,8/1/2002,0.11,1,,,,,,,
45,9/1/2002,0.22,1,,,,,,,
46,10/1/2002,0.19,1,14.76,3.97,24.200001,18.24,20.559998999999998,88.519997,0.46840843991587994
47,11/1/2002,0.13,1,,,,,,,
48,12/1/2002,0.26,1,,,,,,,
49,1/1/2003,0.32,1,14.45,4.23,22.34,18.700001,19.26,86.059998,0.5172812830826008
50,2/1/2003,0.35,1,14.52,4.27,22.24,17.700001,18.67,84.900002,0.5087938601208999
51,3/1/2003,0.33,1,14.3,4.34,22.73,18.4,18.57,84.739998,0.6139696837941145
52,4/1/2003,0.21,1,,,,,,,
53,5/1/2003,0.16,1,,,,,,,
54,6/1/2003,0.17,1,17.07,4.84,27.09,22.120001000000002,20.16,97.629997,0.6592261354567834
55,7/1/2003,0.12,1,17.6,4.87,27.59,20.639999,20.129998999999998,99.389999,0.5129853222561032
56,8/1/2003,0.1,1,18.440001000000002,4.91,29.0,21.049999,20.469998999999998,101.440002,0.5754771644283886
57,9/1/2003,0.12,1,,,,,,,
58,10/1/2003,0.08,0,,,,,,,
59,11/1/2003,0.11,1,,,,,,,
60,12/1/2003,0.09,1,,,,,,,
61,1/1/2004,0.04,0,21.25,5.45,31.309998999999998,23.809998999999998,21.780001000000002,113.480003,0.44734260019220373
62,2/1/2004,0.05,0,,,,,,,
63,3/1/2004,0.04,0,,,,,,,
64,4/1/2004,0.04,0,,,,,,,
65,5/1/2004,0.06,0,,,,,,,
66,6/1/2004,0.04,0,,,,,,,
67,7/1/2004,0.12,1,,,,,,,
68,8/1/2004,0.1,1,,,,,,,
69,9/1/2004,0.1,1,,,,,,,
70,10/1/2004,0.06,0,,,,,,,
71,11/1/2004,0.06,0,20.98,5.2,33.82,27.440001000000002,22.34,117.889999,0.5375919068953304
72,12/1/2004,0.03,0,,,,,,,
