Index,Very_Conservative,Conservative,Moderate,Aggressive,Very_Aggressive
mean,0.0537,0.0644,0.0738,0.0817,0.0879
std,0.0389,0.058,0.083,0.1104,0.1392
max,0.039578464,0.081626709,0.135835745,0.221369039,0.3125
