Index,Very_Conservative,Conservative,Moderate,Aggressive,Very_Aggressive
mean,0.0583,0.0716,0.0836,0.0944,0.104
std,0.0427,0.0673,0.0968,0.1284,0.161
max,0.022977153,0.059601731,0.109873737,0.215209988,0.325
